Ax,Ay,Az
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.00,-0.04,0.92
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
-0.20,0.03,0.36
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
0.01,-0.06,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.01,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
-0.00,-0.04,1.00
