Ax,Ay,Az
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
0.14,-0.04,0.88
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
-0.11,0.37,0.28
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.03
0.04,0.71,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.01,1.05,1.15
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.10,1.31,1.18
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.23
-0.17,1.52,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.24,1.68,1.26
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.30,1.78,1.24
-0.36,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.35,1.87,1.20
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.37,1.94,1.14
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.97,1.10
-0.41,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.94,1.07
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.85,1.02
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.73,0.97
-0.44,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.45,1.67,0.91
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.46,1.58,0.83
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.44,0.74
-0.43,1.25,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.42,1.28,0.69
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.41,1.11,0.65
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.67
-0.40,0.97,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.37,0.89,0.72
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.82,0.81
-0.34,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.89
-0.32,0.71,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.29,0.57,0.96
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.43,1.01
-0.27,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.14,0.32,1.06
-0.47,0.08,1.00
-0.47,0.08,1.00
-0.47,0.08,1.00
-0.47,0.08,1.00
-0.47,0.08,1.00
-0.47,0.08,1.00
-0.47,0.08,1.00
-0.47,0.08,1.00
0.07,-0.08,1.05
0.07,-0.08,1.05
0.07,-0.08,1.05
0.07,-0.08,1.05
0.07,-0.08,1.05
0.07,-0.08,1.05
0.07,-0.08,1.05
0.07,-0.08,1.05
-0.12,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.11,-0.29,1.19
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.09,-0.42,1.22
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.66,1.28
-0.02,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.06,-0.88,1.37
-0.04,-0.99,1.39
-0.04,-0.99,1.39
-0.04,-0.99,1.39
-0.04,-0.99,1.39
-0.04,-0.99,1.39
-0.04,-0.99,1.39
-0.04,-0.99,1.39
-0.04,-0.99,1.39
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.05,1.33
0.00,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.03,-1.08,1.25
0.09,-1.13,1.19
0.09,-1.13,1.19
0.09,-1.13,1.19
0.09,-1.13,1.19
0.09,-1.13,1.19
0.09,-1.13,1.19
0.09,-1.13,1.19
0.09,-1.13,1.19
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.15
0.11,-1.25,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.33,1.12
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.41,1.16
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.09,-1.51,1.20
0.00,-1.63,1.21
0.00,-1.63,1.21
0.00,-1.63,1.21
0.00,-1.63,1.21
0.00,-1.63,1.21
0.00,-1.63,1.21
0.00,-1.63,1.21
0.00,-1.63,1.21
0.15,-1.59,1.19
0.15,-1.59,1.19
0.15,-1.59,1.19
0.15,-1.59,1.19
0.15,-1.59,1.19
0.15,-1.59,1.19
0.15,-1.59,1.19
0.15,-1.59,1.19
0.06,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.04,-1.59,1.13
0.10,-1.56,1.01
0.10,-1.56,1.01
0.10,-1.56,1.01
0.10,-1.56,1.01
0.10,-1.56,1.01
0.10,-1.56,1.01
0.10,-1.56,1.01
0.10,-1.56,1.01
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.48,0.89
0.07,-1.32,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.14,-1.33,0.78
0.20,-1.15,0.73
0.20,-1.15,0.73
0.20,-1.15,0.73
0.20,-1.15,0.73
0.20,-1.15,0.73
0.20,-1.15,0.73
0.20,-1.15,0.73
0.20,-1.15,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.95,0.73
0.27,-0.79,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.28,-0.81,0.78
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.72,0.88
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,0.97
0.29,-0.67,1.08
0.28,-0.63,1.08
0.28,-0.63,1.08
0.28,-0.63,1.08
0.28,-0.63,1.08
