Ax,Ay,Az
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.13,0.06,-0.36
0.13,0.06,-0.36
0.13,0.06,-0.36
0.13,0.06,-0.36
0.13,0.06,-0.36
0.13,0.06,-0.36
0.13,0.06,-0.36
0.13,0.06,-0.36
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
-0.12,0.13,-1.04
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,-0.10
0.00,0.05,0.05
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.02,0.05,0.04
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.00,0.19
-0.05,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.36
-0.03,-0.05,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.03,-0.09,0.58
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.13,0.83
-0.09,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.18,-0.17,1.06
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.26,-0.16,1.29
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.55
-0.33,-0.15,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.41,-0.14,1.78
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.55,-0.11,1.87
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.11
-0.43,-0.06,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.41,-0.14,2.44
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.29,-0.04,2.70
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,-0.12,2.78
-0.46,0.01,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.18,0.00,2.96
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.08,-0.09,3.12
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.23
-0.23,-0.15,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.29,-0.16,3.29
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.14,3.27
-0.25,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.24,-0.11,3.17
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.27,-0.14,3.04
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.16,2.91
-0.34,-0.19,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.42,-0.17,2.76
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.60
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.41
-0.47,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.43,-0.17,2.21
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.37,-0.17,2.04
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.85
-0.33,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.26,-0.17,1.65
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.17,-0.15,1.49
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.40
-0.12,-0.20,1.15
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.11,-0.15,1.13
-0.01,-0.18,1.02
-0.01,-0.18,1.02
-0.01,-0.18,1.02
-0.01,-0.18,1.02
-0.01,-0.18,1.02
-0.01,-0.18,1.02
-0.01,-0.18,1.02
-0.01,-0.18,1.02
0.05,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.03,-0.20,0.89
0.16,-0.17,0.77
0.16,-0.17,0.77
0.16,-0.17,0.77
0.16,-0.17,0.77
0.16,-0.17,0.77
0.16,-0.17,0.77
0.16,-0.17,0.77
0.16,-0.17,0.77
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.16,0.63
0.15,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.16,-0.14,0.47
0.18,-0.10,0.26
0.18,-0.10,0.26
0.18,-0.10,0.26
0.18,-0.10,0.26
0.18,-0.10,0.26
0.18,-0.10,0.26
0.18,-0.10,0.26
0.18,-0.10,0.26
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.08,0.10
0.21,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.26,-0.04,-0.01
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,-0.01,-0.10
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.08,-0.23
0.30,0.02,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.27,0.03,-0.32
0.31,0.12,-0.40
0.31,0.12,-0.40
0.31,0.12,-0.40
0.31,0.12,-0.40
0.31,0.12,-0.40
0.31,0.12,-0.40
0.31,0.12,-0.40
0.31,0.12,-0.40
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.47
0.29,0.15,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.25,0.16,-0.55
0.24,0.18,-0.64
